City,Latitude,Longitude,Date,Day,Month,Season,Weekend,MaxTemp,MinTemp,AvgTemp,FeelsLikeMax,FeelsLikeMin,TempCategory,Precipitation,Rainfall,Snowfall,RainCategory,MaxWindSpeed,WindDirection,Humidity,AirPressure,CloudCover,Visibility,DewPoint,Sunrise,Sunset,WeatherCondition,WeatherCode,Temp_Yesterday,Humidity_Yesterday,Rainfall_Yesterday,7DayAvgTemp,7DayAvgHumidity,7DayAvgRainfall,PM2_5,PM10,CO_Level
Islamabad,33.6844,73.0479,1/1/2023,Sunday,1,Winter,1,17,4.7,9.2,14.6,2,Cold,0,0,0,No Rain,10.2,328,67.96,957.52,12.71,0,3.15,2023-01-01T07:12,2023-01-01T17:09,Sunny,0,,,,,,,29,162,0.84
Islamabad,33.6844,73.0479,1/2/2023,Monday,1,Winter,0,15.7,4.1,8.8,13.2,0.9,Cold,0,0,0,No Rain,8.4,318,65.71,958.75,0,0,2.45,2023-01-02T07:12,2023-01-02T17:10,Sunny,0,9.2,67.96,0,,,,109,51,0.67
Islamabad,33.6844,73.0479,1/3/2023,Tuesday,1,Winter,0,16,3.1,8.6,12.8,0,Cold,0,0,0,No Rain,11.7,318,59.92,960.09,0,0,0.91,2023-01-03T07:12,2023-01-03T17:11,Sunny,0,8.8,65.71,0,,,,198,196,1.31
Islamabad,33.6844,73.0479,1/4/2023,Wednesday,1,Winter,0,16.8,3.4,8.7,13.6,-0.2,Cold,0,0,0,No Rain,9.3,315,53.29,960.02,0,0,-1.15,2023-01-04T07:12,2023-01-04T17:12,Sunny,0,8.6,59.92,0,,,,76,140,0.31
Islamabad,33.6844,73.0479,1/5/2023,Thursday,1,Winter,0,17.2,4.7,9.3,14.6,1.6,Cold,0,0,0,No Rain,11.2,338,59.25,960.77,0,0,1.38,2023-01-05T07:12,2023-01-05T17:13,Sunny,0,8.7,53.29,0,,,,88,98,0.44
Islamabad,33.6844,73.0479,1/6/2023,Friday,1,Winter,0,14.6,4.5,9.8,13,1.4,Cold,0,0,0,No Rain,7.1,314,60.17,961.42,88.29,0,2.31,2023-01-06T07:12,2023-01-06T17:13,Cloudy,2,9.3,59.25,0,,,,190,92,1.88
Islamabad,33.6844,73.0479,1/7/2023,Saturday,1,Winter,1,17.1,5.3,10.9,14.5,1.9,Cold,0,0,0,No Rain,11.5,314,55.79,959.67,99.5,0,2.18,2023-01-07T07:13,2023-01-07T17:14,Cloudy,2,9.8,60.17,0,9.328571429,60.29857143,0,199,32,0.39
Islamabad,33.6844,73.0479,1/8/2023,Sunday,1,Winter,1,15.1,7.8,10.9,13.5,4.9,Cold,0.3,0.3,0,Light Rain,9.4,316,65.25,957.56,77.54,0,4.41,2023-01-08T07:13,2023-01-08T17:15,Rainy,1,10.9,55.79,0,9.571428571,59.91142857,0.042857143,182,188,1.75
Islamabad,33.6844,73.0479,1/9/2023,Monday,1,Winter,0,17.7,7.8,11.5,16.1,5.6,Cold,0,0,0,No Rain,11,313,75.21,958.03,71.83,0,7.03,2023-01-09T07:13,2023-01-09T17:16,Cloudy,2,10.9,65.25,0.3,9.957142857,61.26857143,0.042857143,102,117,0.64
Islamabad,33.6844,73.0479,1/10/2023,Tuesday,1,Winter,0,19.4,6.5,12,17.4,3.9,Cold,0,0,0,No Rain,11,308,71,957.33,62.38,0,6.42,2023-01-10T07:12,2023-01-10T17:17,Moderate,3,11.5,75.21,0,10.44285714,62.85142857,0.042857143,155,178,1.84
